Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Precious Achiuwa\achiupr01,C,22,TOR,66,27,1564,238,544,.438,45,126,.357,193,418,.462,.479,68,115,.591,140,311,451,75,33,38,74,140,589
2,Steven Adams\adamsst01,C,28,MEM,72,71,1894,203,372,.546,0,1,.000,203,371,.547,.546,105,191,.550,337,383,720,237,62,58,107,140,511
3,Bam Adebayo\adebaba01,C,24,MIA,51,51,1666,373,674,.553,0,6,.000,373,668,.558,.553,227,301,.754,128,393,521,171,75,43,139,158,973
4,Santi Aldama\aldamsa01,PF,21,MEM,29,0,298,38,101,.376,4,41,.098,34,60,.567,.396,12,20,.600,24,43,67,15,2,9,11,29,92
5,LaMarcus Aldridge\aldrila01,C,36,BRK,45,12,1027,252,455,.554,14,45,.311,238,410,.580,.569,89,102,.873,71,181,252,41,14,46,42,74,607
6,Nickeil Alexander-Walker\alexani01,SG,23,TOT,62,21,1444,249,672,.371,102,331,.308,147,341,.431,.446,80,108,.741,37,147,184,152,44,23,92,101,680
6,Nickeil Alexander-Walker\alexani01,SG,23,NOP,50,19,1317,237,632,.375,95,305,.311,142,327,.434,.450,70,97,.722,36,128,164,139,41,19,85,88,639
6,Nickeil Alexander-Walker\alexani01,SG,23,UTA,12,2,127,12,40,.300,7,26,.269,5,14,.357,.388,10,11,.909,1,19,20,13,3,4,7,13,41
7,Grayson Allen\allengr01,SG,26,MIL,62,61,1704,243,548,.443,153,375,.408,90,173,.520,.583,58,67,.866,29,179,208,96,44,16,40,91,697
8,Jarrett Allen\allenja01,C,23,CLE,56,56,1809,369,545,.677,1,10,.100,368,535,.688,.678,165,233,.708,192,410,602,92,44,75,94,97,904
9,Jose Alvarado\alvarjo01,PG,23,NOP,47,1,721,112,257,.436,31,99,.313,81,158,.513,.496,32,44,.727,22,64,86,128,59,7,33,69,287
10,Justin Anderson\anderju01,SF,28,TOT,12,5,248,28,70,.400,13,45,.289,15,25,.600,.493,14,18,.778,4,37,41,27,5,3,8,17,83
10,Justin Anderson\anderju01,SF,28,CLE,3,0,47,4,8,.500,2,6,.333,2,2,1.000,.625,3,4,.750,0,6,6,6,1,0,2,4,13
10,Justin Anderson\anderju01,SF,28,IND,9,5,201,24,62,.387,11,39,.282,13,23,.565,.476,11,14,.786,4,31,35,21,4,3,6,13,70
11,Kyle Anderson\anderky01,PF,28,MEM,63,9,1347,188,429,.438,32,99,.323,156,330,.473,.476,61,97,.629,64,273,337,161,69,41,60,95,469
12,Giannis Antetokounmpo\antetgi01,PF,27,MIL,61,61,1998,620,1128,.550,67,223,.300,553,905,.611,.579,506,701,.722,119,588,707,354,64,87,198,198,1813
13,Thanasis Antetokounmpo\antetth01,SF,29,MIL,44,5,398,51,100,.510,1,11,.091,50,89,.562,.515,21,34,.618,39,55,94,19,14,9,20,62,124
14,Carmelo Anthony\anthoca01,PF,37,LAL,65,3,1703,301,677,.445,146,379,.385,155,298,.520,.552,128,154,.831,58,214,272,63,44,51,57,158,876
15,Cole Anthony\anthoco01,PG,21,ORL,62,62,2005,350,890,.393,131,385,.340,219,505,.434,.467,211,248,.851,31,308,339,362,45,16,165,164,1042
16,OG Anunoby\anunoog01,SF,24,TOR,45,45,1635,293,667,.439,109,303,.360,184,364,.505,.521,83,111,.748,70,174,244,117,68,25,74,126,778
17,Ryan Arcidiacono\arcidry01,PG,27,NYK,6,0,17,2,3,.667,2,2,1.000,0,1,.000,1.000,0,0,,0,1,1,0,0,0,0,0,6
18,Trevor Ariza\arizatr01,SF,36,LAL,22,10,415,28,82,.341,20,66,.303,8,16,.500,.463,8,15,.533,6,65,71,23,12,4,10,19,84
19,D.J. Augustin\augusdj01,PG,34,TOT,47,2,733,84,190,.442,60,138,.435,24,52,.462,.600,34,39,.872,9,49,58,95,15,0,51,27,262
19,D.J. Augustin\augusdj01,PG,34,HOU,34,2,510,55,136,.404,39,96,.406,16,40,.400,.548,33,38,.868,7,34,41,74,10,0,45,17,182
19,D.J. Augustin\augusdj01,PG,34,LAL,13,0,223,29,54,.537,21,42,.500,8,12,.667,.731,1,1,1.000,2,15,17,21,5,0,6,10,80
20,Deni Avdija\avdijde01,SF,21,WAS,74,6,1755,211,493,.428,69,217,.318,142,276,.514,.498,99,129,.767,45,335,380,135,55,39,69,167,590
21,Joel Ayayi\ayayijo01,SG,21,WAS,7,0,20,1,6,.167,0,1,.000,1,5,.200,.167,0,0,,1,2,3,4,0,0,0,0,2
22,Deandre Ayton\aytonde01,C,23,PHO,54,54,1591,412,640,.644,6,17,.353,406,623,.652,.648,101,135,.748,138,404,542,77,39,37,82,129,931
23,Udoka Azubuike\azubuud01,C,22,UTA,17,6,195,37,49,.755,0,0,,37,49,.755,.755,6,11,.545,18,53,71,0,1,11,12,25,80
24,Marvin Bagley III\baglema01,PF,22,TOT,46,23,1098,217,433,.501,22,95,.232,195,338,.577,.527,65,96,.677,102,223,325,32,22,17,37,87,521
24,Marvin Bagley III\baglema01,PF,22,SAC,30,17,656,114,246,.463,15,62,.242,99,184,.538,.494,35,47,.745,67,148,215,17,9,11,21,50,278
24,Marvin Bagley III\baglema01,PF,22,DET,16,6,442,103,187,.551,7,33,.212,96,154,.623,.570,30,49,.612,35,75,110,15,13,6,16,37,243
